English,etaoinsrhldcumfpgwybvkxjqz
Spanish,eaosrnidlctumpbgyívqóhfzjéáñxúüwk
German,enisratdhulcgmobwfkzvüpäßjöyqx
French,esaitnrulodcmpévqfbghjàxèyêzçôùâûîœwkïëüæñ
Italian,eaionlrtscdupmvghfbqzòàùìéèóykwxjô
Dutch,enatirodslghvkmubpwjczfxyëéóq
Polish,iaeoznscrwyłdkmtpujlgębąhżśóćńfźvqx
Swedish,eantrslidomgkvähfupåöbcjyxwzéqàè
Portuguese,aeosrinmdutlcphvqgfbãzçjáéxóõêôàyíèúkw
Norwegian,erntsilakodgmvfupbhøjyaaæcwzxq
Icelandic,anriestudhlgmkfhvoáthídjóbyæúöpéýcxwzq
Slovak,aoesnitrvlkdmcupzyhjgfbqwx
Finnish,enatrsildokgmvfaauphäcböjyxzwq
Danish,enadtrslgiohmkvufbpøaejycéxqwèzüàóêçaaëä
Irish,aihnretscoldgumbáfíéúópvjwykqzx
